Class 1,Term 1,Similarity,Class 2,Term 2,Comment,Reasoning,Factors
9,Battery chargers,3,9,"Batteries, electric",,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
9,Battery chargers,3,9,"Batteries, electric, for vehicles",,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
9,Battery chargers,3,9,Batteries,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
25,Bath robes,3,24,"Textile goods, and substitutes for textile goods","Textile goods include towels of textile for bathroom use. Bath robes are used for absorbing moisture after a bath. These goods serve the same purpose and satisfy the needs of the same public which can perceive them as interchangeable. Furthermore, companies producing towels and bath robes commonly make them from the same material and in matching style. They are typically sold in the same specialised shops and sections of department stores.","['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
30,Edible ices,3,30,Frozen yogurts,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
30,Edible ices,3,30,Ice confectionery,"Edible ices refer to ice cream, ice lollies etc., whereas ice confectionery, confectionery ices etc. are preparations that can contain ice cream for example, but as such are considered to be confectionery, only in frozen form. These goods coincide in purpose and are in competition with each other. They are directed at the same public who look for them in the same channels of distribution. Furthermore, they can originate from the same producers.","['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
30,Edible ices,3,30,Confectionery in frozen form,"Edible ices refer to ice cream, ice lollies etc., whereas ice confectionery, confectionery ices etc. are preparations that can contain ice cream for example, but as such are considered to be confectionery, only in frozen form. These goods coincide in purpose and are in competition with each other. They are directed at the same public who look for them in the same channels of distribution. Furthermore, they can originate from the same producers.","['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
30,Edible ices,3,30,Confectionery ices,"Edible ices refer to ice cream, ice lollies etc., whereas ice confectionery, confectionery ices etc. are preparations that can contain ice cream for example, but as such are considered to be confectionery, only in frozen form. These goods coincide in purpose and are in competition with each other. They are directed at the same public who look for them in the same channels of distribution. Furthermore, they can originate from the same producers.","['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
41,Organization of competitions [education or entertainment],3,41,Arranging and conducting of games,,"['1. Nature', '2. Purpose', '3. Methods of use', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 3, 6, 7, 8]"
41,Organization of competitions [education or entertainment],3,41,Arranging of games,,"['1. Nature', '2. Purpose', '3. Methods of use', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 3, 6, 7, 8]"
12,Tyres for vehicle wheels,3,12,Inner tubes for pneumatic tyres,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
30,Custard,3,30,Puddings,"The term custard includes both custard sauce (a sweet yellow sauce) as well as baked custard (a sweetened mixture of eggs and milk eaten as a dessert). While baked custard and puddings may both be made of a sweetened mixture of eggs and milk, the main difference is that puddings use a starch for thickening, whereas baked custard’s thickening agent is the egg itself (or egg yolk). The texture of baked custard also tends to be firmer than that of a pudding.","['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 3, 5, 6, 7, 8]"
30,Puddings,3,29,Milk products,"given that ‘Pudding’ is classified in a different Class, it cannot be considered as including ‘milk pudding’ in Class 29. However, puddings in Class 30 do include goods such as “dessert puddings”, which would, for example, include mainly chocolate-based dessert puddings which would be found in the same sections as dairy puddings, target the same consumer, etc. as mentioned in the pair","['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 3, 5, 6, 7, 8]"
5,Preparations for destroying vermin,3,5,Insect repellents,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
5,Preparations for destroying vermin,3,5,Cedar wood for use as an insect repellent,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
5,Preparations for destroying vermin,3,5,Preparations for destroying dry rot fungus,,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
5,Preparations for destroying vermin,3,5,Insect repellent incense,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
5,Preparations for destroying vermin,3,5,Repellents for dogs,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
5,Preparations for destroying vermin,3,5,Mothproofing preparations,,"['1. Nature', '3. Methods of use', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 3, 6, 7, 8]"
29,Cheese substitutes,3,29,Cheese,"The most commonplace literal meaning and commercial use of the term cheese refers to	 a product made from milk. It does not cover non-dairy or vegan cheese substitutes which are made from a variety of plants, including nuts, soy, seeds and vegetables. Nevertheless, cheese and cheese substitutes have the same method of use, whether for direct consumption or for the preparation of other dishes. Furthermore, it is common on the relevant market that cheese substitutes are increasingly offered as dairy-free alternatives to cheese, such as spreads, and they satisfy the same need of the consumer. The goods coincide in relevant public and distribution channels, since they are generally displayed in the same sections of supermarkets. It follows that the goods are similar to a high degree.","['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public']","[2, 3, 5, 6, 7]"
29,Milk substitutes,3,29,Milk products,"The most commonplace literal meaning and commercial use of the term milk refers to a product of animal origin. On the other hand, the milk substitutes are made from a variety of plants, including nuts, soy, and seeds. Nevertheless, milk and milk substitutes have the same method of use, whether for direct consumption or for the preparation of other beverages. Furthermore, it is common on the relevant market that milk substitutes are increasingly offered as dairy-free alternatives to milk, and they satisfy the same need of the consumer. The goods coincide in relevant public and distribution channels, since they are generally displayed in the same sections of supermarkets. It follows that the goods are similar to a high degree.","['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public']","[2, 3, 5, 6, 7]"
29,Milk substitutes,3,29,Milk,"The most commonplace literal meaning and commercial use of the term milk refers to a product of animal origin. On the other hand, the milk substitutes are made from a variety of plants, including nuts, soy, and seeds. Nevertheless, milk and milk substitutes have the same method of use, whether for direct consumption or for the preparation of other beverages. Furthermore, it is common on the relevant market that milk substitutes are increasingly offered as dairy-free alternatives to milk, and they satisfy the same need of the consumer. The goods coincide in relevant public and distribution channels, since they are generally displayed in the same sections of supermarkets. It follows that the goods are similar to a high degree.","['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public']","[2, 3, 5, 6, 7]"
35,Online retail services relating to handbags,3,35,Retail services in relation to clothing,"Retail services of specific goods and retail services of other specific goods have the same nature as both are retail services, have the same purpose of allowing consumers to conveniently satisfy different shopping needs, and have the same method of use. Similarity is found between the retail services where the specific goods concerned are commonly retailed together in the same outlets and they are directed at the same public. These conditions are fulfilled in the present case, since the goods subject to the retail services under comparison are commonly brought together by the same retailers, they are sold together in the same places and are of interest to the same relevant public. On account of the close proximity which exists between the goods sold at the retail services under comparison, the degree of similarity between them is high.","['1. Nature', '2. Purpose', '3. Methods of use', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 3, 6, 7, 8]"
9,Smartphones,3,9,Computers,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
9,Baby monitors,3,9,Video cameras adapted for monitoring purposes,"Video cameras include security cameras adapted for monitoring purposes. Baby monitors and video cameras are commonly sold in a set. Given the indispensable functional link that exists between the camera that captures sound and/or images on the one hand, and the display device on the other hand, consumers may think that responsibility for the production of those goods lies with the same undertaking.","['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
35,Retail services in relation to ice creams,3,35,Retail services in relation to confectionery,"Retail services of specific goods and retail services of other specific goods have the same nature as both are retail services, have the same purpose of allowing consumers to conveniently satisfy different shopping needs, and have the same method of use. Similarity is found between the retail services where the specific goods concerned are commonly retailed together in the same outlets and they are directed at the same public. These conditions are fulfilled in the present case, since the goods subject to the retail services under comparison are commonly brought together by the same retailers, they are sold together in the same places and are of interest to the same relevant public. On account of the close proximity which exists between the goods sold at the retail services under comparison, the degree of similarity between them is high.","['1. Nature', '2. Purpose', '3. Methods of use', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 3, 6, 7, 8]"
29,Cooked fruits,3,29,Frozen fruits,,"['1. Nature', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 5, 6, 7, 8]"
29,Cooked fruits,3,29,Dried fruit,,"['1. Nature', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 5, 6, 7, 8]"
26,Pins,3,26,"Badges for wear, not of precious metal",,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
9,Measuring apparatus and instruments,3,9,Tachographs,,"['1. Nature', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 4, 6, 7, 8]"
9,Measuring apparatus and instruments,3,9,Radar reflecting apparatus,,"['1. Nature', '2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '8. Producer / Provider']","[1, 2, 4, 6, 8]"
